iter	Passed	Remaining
0	10	1052
1	14	723
2	19	614
3	25	608
4	30	583
5	35	561
6	39	524
7	43	496
8	56	575
9	59	535
10	62	506
11	66	485
12	68	458
13	71	439
14	73	418
15	76	399
16	78	383
17	82	375
18	84	361
19	87	349
20	89	336
21	92	327
22	94	316
23	97	307
24	99	298
25	104	298
26	110	297
27	115	298
28	120	296
29	126	294
30	131	292
31	135	287
32	138	280
33	141	273
34	143	266
35	146	259
36	148	253
37	150	246
38	153	240
39	156	234
40	158	228
41	159	220
42	162	215
43	165	210
44	167	204
45	170	200
46	172	194
47	175	189
48	177	184
49	179	179
50	181	174
51	185	171
52	188	167
53	191	163
54	192	157
55	195	153
56	203	153
57	206	149
58	209	145
59	212	141
60	216	138
61	219	134
62	221	130
63	223	125
64	227	122
65	230	118
66	233	114
67	236	111
68	238	107
69	241	103
70	243	99
71	246	95
72	249	92
73	252	88
74	255	85
75	257	81
76	260	77
77	263	74
78	265	70
79	268	67
80	270	63
81	273	60
82	276	56
83	279	53
84	282	49
85	285	46
86	287	42
87	291	39
88	293	36
89	296	32
90	299	29
91	301	26
92	304	22
93	310	19
94	316	16
95	318	13
96	321	9
97	323	6
98	325	3
99	327	0
