iter	Passed	Remaining
0	156	156559
1	159	79556
2	161	53739
3	163	40797
4	166	33110
5	168	27945
6	170	24255
7	173	21527
8	175	19361
9	178	17622
10	181	16277
11	183	15086
12	186	14150
13	188	13287
14	191	12549
15	194	11951
16	196	11379
17	199	10901
18	202	10429
19	204	10006
20	206	9627
21	208	9280
22	210	8958
23	213	8683
24	215	8413
25	217	8157
26	219	7926
27	222	7716
28	224	7516
29	226	7337
30	229	7162
31	231	7004
32	234	6858
33	236	6712
34	238	6578
35	240	6449
36	243	6334
37	245	6216
38	248	6113
39	250	6007
40	252	5906
41	254	5809
42	257	5725
43	259	5639
44	261	5556
45	264	5477
46	266	5401
47	268	5326
48	270	5256
49	273	5194
50	276	5142
51	278	5077
52	280	5017
53	283	4961
54	285	4904
55	287	4852
56	290	4802
57	292	4756
58	295	4706
59	297	4659
60	299	4614
61	303	4584
62	305	4541
63	307	4501
64	309	4456
65	311	4411
66	313	4367
67	315	4329
68	317	4287
69	319	4246
70	321	4206
71	323	4167
72	325	4130
73	327	4095
74	329	4062
75	333	4049
76	335	4019
77	337	3990
78	342	3996
79	346	3988
80	349	3967
81	352	3943
82	353	3904
83	355	3879
84	359	3868
85	361	3842
86	370	3888
87	379	3929
88	382	3911
89	385	3898
90	387	3874
91	390	3856
92	393	3834
93	395	3815
94	398	3796
95	400	3773
96	402	3750
97	405	3729
98	407	3711
99	410	3695
100	413	3683
101	416	3663
102	418	3644
103	420	3623
104	422	3604
105	425	3585
106	430	3592
107	437	3614
108	440	3599
109	443	3588
110	445	3568
111	447	3549
112	449	3530
113	451	3512
114	453	3493
115	456	3477
116	457	3455
117	459	3437
118	461	3419
119	463	3400
120	465	3383
121	467	3363
122	469	3349
123	471	3332
124	473	3316
125	475	3300
126	477	3282
127	479	3266
128	481	3251
129	483	3236
130	485	3222
131	488	3210
132	490	3196
133	492	3182
134	494	3169
135	496	3156
136	499	3143
137	501	3130
138	503	3117
139	505	3104
140	507	3091
141	508	3074
142	511	3063
143	513	3051
144	515	3039
145	517	3027
146	519	3016
147	522	3006
148	524	2995
149	526	2984
150	528	2973
151	531	2962
152	533	2951
153	535	2941
154	537	2930
155	539	2920
156	541	2910
157	544	2899
158	546	2889
159	548	2878
160	549	2864
161	552	2856
162	554	2846
163	556	2838
164	558	2828
165	561	2819
166	563	2809
167	566	2803
168	568	2795
169	570	2787
170	573	2779
171	576	2776
172	580	2773
173	582	2765
174	587	2768
175	590	2766
176	593	2759
177	596	2755
178	599	2747
179	601	2739
180	603	2731
181	606	2725
182	609	2721
183	612	2717
184	637	2808
185	641	2808
186	644	2803
187	648	2799
188	651	2793
189	654	2789
190	658	2787
191	661	2782
192	665	2783
193	668	2779
194	672	2774
195	676	2774
196	679	2771
197	682	2766
198	685	2761
199	688	2755
200	691	2750
201	694	2745
202	698	2740
203	701	2736
204	710	2756
205	713	2751
206	718	2750
207	722	2752
208	727	2752
209	730	2747
210	732	2740
211	735	2734
212	738	2728
213	741	2723
214	744	2717
215	746	2710
216	749	2705
217	752	2698
218	754	2691
219	757	2684
220	759	2677
221	761	2670
222	764	2664
223	767	2657
224	769	2650
225	771	2643
226	774	2636
227	776	2630
228	779	2624
229	782	2618
230	784	2611
231	786	2604
232	789	2597
233	791	2591
234	795	2588
235	797	2582
236	799	2575
237	802	2569
238	805	2564
239	808	2560
240	811	2554
241	813	2548
242	815	2541
243	818	2535
244	820	2529
245	823	2522
246	825	2516
247	828	2510
248	830	2504
249	832	2498
250	835	2492
251	837	2485
252	839	2479
253	842	2473
254	844	2467
255	846	2460
256	848	2454
257	851	2447
258	853	2441
259	855	2434
260	857	2428
261	860	2422
262	862	2416
263	864	2409
264	866	2403
265	868	2397
266	870	2390
267	872	2384
268	875	2378
269	877	2372
270	879	2366
271	881	2359
272	883	2353
273	885	2347
274	888	2341
275	890	2335
276	892	2329
277	894	2323
278	896	2317
279	898	2311
280	901	2305
281	903	2299
282	905	2293
283	907	2287
284	909	2281
285	911	2275
286	914	2271
287	916	2265
288	918	2260
289	920	2254
290	922	2248
291	924	2242
292	927	2237
293	929	2232
294	931	2226
295	933	2220
296	935	2214
297	937	2209
298	939	2203
299	942	2198
300	944	2193
301	946	2187
302	948	2182
303	950	2176
304	952	2170
305	954	2165
306	956	2160
307	959	2154
308	961	2149
309	963	2143
310	965	2138
311	967	2132
312	969	2128
